borough,address,latitude,longitude
QN,112-11 ROCKAWAY BEACH BLVD,40.5805114,-73.8341407
QN,167 BEACH 114 STREET,40.5792914,-73.8351301
QN,162 BEACH 114 STREET,40.5793537,-73.8345648
BX,2242 GLEASON AVENUE,40.8319282,-73.8493597
BK,176 TOMPKINS AVENUE,40.6929955,-73.9461361
BX,212 WEST 231 STREET,40.8791146,-73.9056903
BK,40 STREET,40.6542652,-74.0096442
BK,588 UNION STREET,40.6777352,-73.9845479
QN,48 STREET,40.7706986,-73.8996233
QN,DITMARS BOULEVARD,40.7693079,-73.9006327
BK,147 CLIFTON PLACE,40.6885678,-73.95823
BK,462 LAFAYETTE AVENUE,40.6890393,-73.9566071
BK,448 LAFAYETTE AVENUE,40.6889737,-73.9573968
BK,342 FRANKLIN AVENUE,40.6874036,-73.957167
BK,GREENE AVENUE,40.6875516,-73.9564963
BK,409 CLASSON AVENUE,40.6869982,-73.9593668
BK,1096 BEDFORD AVENUE,40.6873286,-73.954982
BK,199 LEXINGTON AVENUE,40.6873809,-73.9553389
BK,177 LEXINGTON AVENUE,40.68737,-73.9554255
BK,483 DEKALB AVENUE,40.6908595,-73.9577995
BK,635 GREENE AVENUE,40.6895002,-73.9436076
BK,5200 1 AVENUE,40.6494055,-74.0209268
BK,38 VAN BUREN STREET,40.6897556,-73.9438778
BK,11 VAN BUREN STREET,40.6901102,-73.9448114
BK,604 MYRTLE AVENUE,40.693896,-73.9599865
BK,HART STREET,40.6935014,-73.9479315
BK,SKILLMAN STREET,40.6911226,-73.9566562
MN,TERRACE VIEW AVENUE,40.8780837,-73.9105555
BK,722 LAFAYETTE AVENUE,40.6904612,-73.9442378
MN,HARLEM RIVER DRIVE,40.8736087,-73.9091441
BK,467 BUSHWICK AVENUE,40.7014802,-73.9364818
MN,119 WEST 138 STREET,40.8167479,-73.9405878
BK,76 HANSON PLACE,40.6852376,-73.9745369
BK,92 STREET,40.6166808,-74.0273352
QN,21 AVENUE,40.771272,-73.8902754
QN,77 ROAD,40.7231703,-73.806883
QN,73-08 DITMARS BOULEVARD,40.7680191,-73.8958151
BK,94 STREET,40.6159967,-74.0296546
QN,162-11 77 ROAD,40.7237312,-73.8058134
BK,219 KOSCIUSZKO STREET,40.6914228,-73.9462275
QN,161-09 UNION TURNPIKE,40.7211243,-73.8062034
QN,22-23 75 STREET,40.7676497,-73.8940792
BK,727 LAFAYETTE AVENUE,40.690936,-73.9441617
BK,622 WILLOUGHBY AVENUE,40.694186,-73.9444511
BK,154 HART STREET,40.6933382,-73.9452848
